pathway	ENVGutDigesta1	ENVGutDigesta2	ENVGutDigesta3	ENVGutTissue1	ENVGutTissue2	ENVGutTissue3	LabGutDigesta1	LabGutDigesta2	LabGutDigesta3	LabGutTissue1	LabGutTissue2	LabGutTissue3
ko00010	19787.9177	21188.7547	18250.8358	6123.097	7799.3747	6046.8679	35141.6011	53882.1085	47385.7732	8987.7987	12444.3092	8987.7987
ko00020	23871.4826	26854.2681	22044.0723	14018.1458	20033.6606	14871.6129	42546.7729	67523.6426	57663.43	24277.8345	31954.8542	24277.8345
ko00030	16158.9779	17589.1007	14681.6948	4824.7936	5995.1826	4688.5476	29673.0002	48423.4362	41629.1455	6812.3386	9509.5169	6812.3386
ko00040	6292.5453	6905.9537	5485.2135	1429.7065	1976.1435	1492.375	12481.2475	17752.4345	17357.3005	2374.182	3282.8028	2374.182
ko00051	10169.3846	10210.1457	8950.3961	2819.4505	3500.9066	2735.2679	13889.7343	22116.7598	18720.1045	3962.2484	5504.4362	3962.2484
ko00052	13053.3408	12496.3364	11105.2444	1963.1746	2263.851	1833.8462	15268.5341	25163.6969	21298.5495	2472.4046	3751.3526	2472.4046
ko00053	4773.6448	4755.5444	4205.3124	795.5484	0	0	9191.4232	12381.1224	11500.9396	1291.792	1836.096	1291.792
ko00061	29920.151	34198.6167	28872.1295	11224.2552	15213.1257	11543.9048	62395.5371	95905.6919	85687.1471	18075.32	24433.1881	18075.32
ko00071	11771.9259	11835.291	10764.5662	0	1899.8876	0	26996.6669	39000.7103	33821.4483	2283.2324	3478.5959	2283.2324
ko00072	19286.4125	22343.83	19275.89	649.9275	317.5725	424.25	62950.8675	82130.315	79835.1175	322.245	1747.265	322.245
ko00100	0	0	0	0	0	0	14.9412	0	0	0	0	0
ko00120	0	0	0	1.1111	0	0	0	0	0	0	0	0
ko00121	7494.22	7764.7725	6260.905	6809.3388	9712.1613	7201.625	10086.1	14973.4388	10764.8125	11748.665	15476.5088	11748.665
ko00130	13025.5548	14668.3217	11095.8517	5404.7486	7930.7686	5834.6552	27386.381	43745.5107	40807.4779	9723.1638	12842.9024	9723.1638
ko00140	14.6957	4.6435	16.9348	0	0	0	5.6522	1.7283	0.1304	0	3.2609	0
ko00190	10579.2112	11983.4344	9989.4336	6610.9284	9320.4477	6958.8807	20454.8155	31311.7423	25941.3102	11244.4948	14917.5061	11244.4948
ko00195	9514.035	10015.1634	8943.5278	0	0	0	13920.0984	23898.2825	18100.8047	0	11839.6791	0
ko00196	165.3471	17.5	87.1667	0	0	0	2.2857	0	0	0	9.1429	0
ko00220	15063.3557	16518.226	14581.3117	6561.499	9450.9677	7012.2	26008.6493	41394.7073	32729.0977	11576.6907	15377.814	11576.6907
ko00230	15000.3537	16815.2552	13780.0426	6966.2963	9561.6561	7202.3238	29183.5702	47017.5636	39809.8241	11405.1412	15313.2796	11405.1412
ko00240	20851.9208	22989.5502	19519.0496	8529.1486	11303.7514	8628	36273.423	58534.591	49813.0972	13259.383	17946.484	13259.383
ko00250	26649.0003	29218.5557	24342.2777	10917.3034	15058.3823	11328.6286	46334.412	77107.7777	65233.4963	17983.7863	24141.9854	17983.7863
ko00260	19715.3592	21783.6504	18281.1094	6401.0982	8576.1418	6525.7	39099.1248	60060.8926	51980.3516	10161.0836	13826.8238	10161.0836
ko00261	0	0	20610.0743	0	0	0	39397.3893	0	55871.1843	0	23870.3336	0
ko00270	16436.9049	17947.4464	15272.9539	6515.9663	8955.3049	6742.0339	29213.5544	47660.0392	40255.5736	10687.6553	14408.1847	10687.6553
ko00280	13984.076	15196.876	13361.7526	859.1789	922.9354	770.8571	36756.3214	56011.8037	48581.4031	1065.6834	2082.1149	1065.6834
ko00281	12080.1975	12990.075	10474.0512	0	16.625	0	33148.18	55980.8538	49095.1212	67.5375	551.9275	67.5375
ko00290	39992.417	43421.941	38877.799	19435.223	28255.677	20908.7	64005.873	102111.789	78141.633	34661.026	46047.885	34661.026
ko00300	19899.1717	22158.9867	18450.4175	10738.7771	14451.9729	10966.9167	37183.26	58494.4888	49996.8888	17055.6908	22891.3771	17055.6908
ko00310	6762.5538	7145.8162	6604.7388	1009.4824	1309.5414	1008.9524	14994.7476	20944.049	18256.7619	1564.6376	2319.9152	1564.6376
ko00311	1534.4338	1412.445	1432.3538	0	6.7862	0	894.715	580.7913	68.4062	19.6037	123.4975	19.6037
ko00330	8991.4248	9834.1096	8331.8539	3120.7665	4371.752	3263.7778	19357.4228	29836.9924	26235.2907	5282.4583	7118.3341	5282.4583
ko00340	16807.3662	18820.2583	16433.945	6743.6304	9692.8279	7198.9167	30810.9083	52233.3683	41683.6775	11838.9129	15932.6696	11838.9129
ko00350	6819.3161	7412.0649	6139.4505	916.0134	1282.0598	962.4146	14533.0273	22449.4641	20868.6856	1572.9902	2297.5439	1572.9902
ko00360	7398.3754	7675.1546	7016.1523	1346.4756	1979.0115	1454.6923	14649.5367	20469.3013	18071.1874	2472.7115	3495.42	2472.7115
