Taxon	log average	Class	LDA	p-value
Ferrimonas	4.000010218	Digesta	3.726513737	0.002092998
Sulfurimonas	3.582748847	Digesta	3.789368511	0.036709258
Desulfobulbus mediterraneus	2.330468151	Digesta	3.921279888	0.022229618
Agarivorans	4.78019582	Digesta	4.474625093	0.002801666
Vibrio*	5.409490086	Digesta	5.115655472	0.002801666
f__Saprospiraceae	2.595985806	Digesta	3.693497411	0.022229618
c__Alphaproteobacteria	3.80737034	Digesta	3.900379947	0.003345618
Propionigenium	4.889565292	Digesta	4.583366912	0.016122415
c__Gammaproteobacteria*	2.438197469	Digesta	4.337536718	0.008980671
Photobacterium	4.669143237	Digesta	4.370244079	0.002092998
o__Flavobacteriales	4.578576783	Digesta	4.290246201	0.003345618
Shewanella benthica	3.608534704	Digesta	3.659838268	0.002092998
Photobacterium rosenbergii	3.216754745	Digesta	4.040919787	0.002092998
o__Legionellales	1.592744283	Digesta	4.323720662	0.022229618
f__Flavobacteriaceae	2.78148821	Digesta	4.053312113	0.032630283
f__Campylobacteraceae	5.985209133	Tissue	5.67061241	0.003884907
Candidatus Hepatoplasma	4.324159566	Tissue	4.06375361	0.002750444
