sequence	16S_rRNA_Count	metadata_NSTI
00afe27639926b5ab609015980f5c49e	3	0.16636900000000002
01a1466ad844b0d1ceddcad63732afd5	1	0.127524
01f6e01e669b3cf7ad25eaf3a5a752fb	1	0.028824000000000002
0211765ad35f04c60bdf9a66eb66a069	1	1.30829
02810f3f38edb6d5d6beb0a016212a2f	10	8.423779
02997d2c0cef2273510c27f62820f402	1	0.324258
02f8ab18f2c384d48e8fea62ed13b31f	1	0.264853
0312c20e525b167db0336a1f7e48c605	3	0.068264
0355cd11a467c5b756f7fbeb0b4c118a	7	0.098
03828de5195503be2d13f809b8a48c06	2	0.276134
038b5969a79d5d52ec9b1b2522ff859c	1	0.164825
039beb81213d85438bb85cc2e53331e4	1	0.295505
03e10b2fafce78eeb150767e589351c4	1	0.313157
04050859306d1847aadba761cf92d8b8	1	0.141512
0421852b20755df88093588e93062ce9	1	0.23517600000000002
04330f282036e8378588f5b33ef4b40c	1	0.560775
04428c54182bc57eb9b933548af8d183	1	0.478152
047bc6656e39bfcc4def062b73154ba7	8	0.010578
04db72140a141eaf111718acac41f943	2	0.42862
05d950d872d6f9adca50ff95267d3b2b	10	2.262562
06250e6f86c13152cc4833b5f310a033	1	0.357122
0677d9f732493f832161376bda44672f	1	0.80997
069f77e6c132c7cb765b14f9cafe679b	1	0.24686799999999998
06d039b41369083e54184574fea1b4bb	1	0.210511
0709c02c7956b0fd8680bd14e2e540a5	1	0.083578
073dea6f5a254faa661e7af2e89a5b31	2	0.199006
075d2053425fe115be8b3f3078c1cd93	1	0.021763
07613ce14c74c34df4970385ef2019e5	1	0.272098
07801cdc548aad651e62c058d18e3c60	1	0.12236
07a0ce2fb3901a7ef6b2f5f9e58ff407	1	0.222298
07ad6fbc3768770c2331e6f41f9eac5d	1	0.550261
08413a2fec5fbfe109ef7be63e44873d	1	0.084262
084fff6ecfb5822d337828b056204c22	4	0.088254
08646b3745e096e7775b5cdfe25b82a7	1	0.220741
086eccc732aa06f7bff2d127503da96c	2	0.13029000000000002
08bd43071a06abf56df235fca6655bea	1	0.000101
0938bb4d51f112f536e65ca3a17fd636	2	0.728209
096b1a57174f924bd073db2763aa2e87	1	0.635177
09dee013d3aaf24e0fb4826f5b1a6860	1	0.331752
09e785ea1bf3c8cf6fb3b75efaf12ff0	1	0.391248
0a012523df71955662c3d908a42411c3	1	0.27078800000000003
0a68ec564e278b0246c920ad7de41880	1	0.21686399999999997
0ad19f7bae72d0d81ed0fdabcf5aeb3c	10	13.922735000000001
0af4e68d8d942744d2bfc79b26eaf3ac	2	0.41222600000000004
0ba89da4495ca5757009a01e85f8c476	1	0.011073000000000001
0c3c6ad6d202442cb338db0fd8175bcb	1	0.448798
0c5d2114ee9993714e590b3f7cb4e9ef	1	0.033552
