Sample ID	ENVGutDigesta1	ENVGutDigesta2	ENVGutDigesta3	ENVGutTissue1	ENVGutTissue2	ENVGutTissue3	LabGutDigesta1	LabGutDigesta2	LabGutDigesta3	LabGutTissue1	LabGutTissue2	LabGutTissue3
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114;f__;g__;s__	0	0	0.010948406	0	0	0	0	0	0	0	0	0
k__Bacteria;__;__;__;__;__;__	0.40741708	0.012818869	0	1.610178439	0.124354314	0.082082852	0.033316916	0.007075326	0	0	0.047091212	0
k__Bacteria;p__;c__;o__;f__;g__;s__	0.005223296	0.012818869	0.030108116	0	0	0	0.004345685	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__AT-s2-57;o__;f__;g__;s__	0	0	0	0	0	0	0	0.001768831	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__BPC015;f__;g__;s__	0	0	0	0	0	0	0.024625547	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__;s__	0	0	0	0	0	0	0.010139931	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__RB25;o__;f__;g__;s__	0	0	0.005474203	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__;s__	0	0	0	0	0	0	0.097053626	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	0.005223296	0	0	0	0	0	0.340411971	0.038914291	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__;s__	0	0	0.027371014	0	0	0	0.111539242	0.009728573	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__;s__	0.020893184	0	0.024633913	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__wb1_P06;g__;s__	0	0	0.030108116	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;__	0	0	0	0	0	0	0	0.002653247	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;__	0.026116479	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium;__	0	0	0	0	0	0	0.020279862	0	0	0	0	0
